#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
COUNCILLORS;Ministers;Conseillers;Ratsmitglieder;;Consejeros;;;;;;;;;x
pirate_kingdom_feud_kingdom_of;Pirate Overlordship of;;;;;;;;;;;;;x
pirate_kingdom_feud_kingdoms;Pirate Overlordships;;;;;;;;;;;;;x
pirate_kingdom_feud_kingdom;Pirate Overlordship;;;;;;;;;;;;;x
pirate_kingdom_feud_king_deed;Control of;;;;;;;;;;;;;x
pirate_kingdom_feud_duke;Pirate Highlord;;;;;;;;;;;;;x
pirate_kingdom_feud_duke_female;Pirate Highlady;;;;;;;;;;;;;x
pirate_kingdom_feud_duke_deed;Control of;;;;;;;;;;;;;x
pirate_kingdom_feud_count;Pirate Lord;;;;;;;;;;;;;x
pirate_kingdom_feud_count_female;Pirate Lady;;;;;;;;;;;;;x
pirate_republic_duke_title_ruler_consort;Consort;;;;;;;;;;;;;x
pirate_republic_duke_title_ruler_consort_female;Consort;;;;;;;;;;;;;x
pirate_republic_duke_deed;Control of;;;;;;;;;;;;;x
pirate_kingdom_feud_job_chancellor;First Mate;;;;;;;;;;;;;x
pirate_kingdom_feud_job_marshal;Chief Tactical Officer;;;;;;;;;;;;;x
pirate_kingdom_feud_job_treasurer;Chief Quartermaster;;;;;;;;;;;;;x
pirate_kingdom_feud_job_spymaster;Chief Signals Officer;;;;;;;;;;;;;x
pirate_kingdom_feud_job_spiritual;Chief Engineer;;;;;;;;;;;;;x
pirate_republic_job_chancellor;Consigliere;;;;;;;;;;;;;x
pirate_republic_job_marshal;Chief Enforcer;;;;;;;;;;;;;x
pirate_republic_job_treasurer;Chief Quartermaster;;;;;;;;;;;;;x
pirate_republic_job_spymaster;Spymaster;;;;;;;;;;;;;x
pirate_republic_job_spiritual;Chief Engineer;;;;;;;;;;;;;x
